generation,individual_index,expression,fitness,nodes
0,0,(1/(5.982293702043171)) * (((x1) * (x1)) - (1/(x1))),-258092700.45663795,9
0,1,((x0) * ((x1) * (x0))) + (1/((x0) / (0.7067448867768475))),-2279739814121164.0,10
0,2,abs((x1) - (1/(x0)))**((x0) / (x1)),-44686.364292954226,8
0,3,(1/(1/(x0))) / ((x1) + ((x0) + (-10.438343938602245))),-0.010541042277139461,9
0,4,((abs(0.35727090482462737)**(x1)) / (x1)) - (1/((-0.9505927562737995) - (0.9346771161798104))),-0.025533073674323295,10
0,5,((x0) / (x1)) / ((x0) - (13.704565476611053)),-0.17386584941522787,7
0,6,1/((x1) - (1/(x0))),-0.27555446642397635,5
0,7,(((x0) * (-0.0014562388925789252)) / (-1.20701265808309)) + (abs(0.967551977957507)**(x1)),-0.064125277278102,9
0,8,((x1) + (-35.747281363867195)) - ((abs(7.037444409527394)**(2.810897310371985)) - (x0)),-102380.92945666332,9
0,9,((0.0011916849727949413) * (x0)) * (1/(1.0106605510075837)),-0.24460888942349468,6
0,10,(((x0) - (x1)) / (-0.8273176108516396)) + ((x0) / (x1)),-0.2460310314640884,9
0,11,(1/((x0) * (0.6379509931580377))) / (abs(x1)**(-0.736964222862065)),-0.0013087382340876404,8
0,12,((x0) + (x1)) + ((x0) - ((x1) + (x0))),-44688.330823849145,9
0,13,(abs((x1) + (x0))**(-2.9401460069685834)) - ((1/(x1)) - (x1)),-44686.364622437664,10
0,14,(1/(0.034394394222367314)) / ((x1) + (x1)),-0.07170146741311706,6
0,15,(1/(2.08709823761423)) * (1/(0.7824424163856949)),-0.03224546060637566,5
0,16,(((x0) + (-515.8263794519801)) - ((-26717.731449001036) / (x1))) * (x0),-425548406.94700176,9
0,17,(abs(x1)**(-614.6964199121956)) * ((x1) / (-73.4032302923381)),-0.3068868325690608,7
0,18,((x1) / (x0)) + ((276.7971183957344) - ((x1) + (x0))),-102215.18795682136,9
0,19,1/(((x0) / (15.09809355119514)) - (-0.4793100561183633)),-0.07292209839432577,6
0,20,(((-215.7461535636496) + (x1)) * (x1)) + ((-217.39083166961194) * (x0)),-833094922.0725701,9
0,21,(((x1) * (x0)) / ((x1) / (x1))) - (x1),-9197966702.084038,9
0,22,(1/(1.8852140746591448)) / ((x0) / (x1)),-0.025533075135355708,6
0,23,((x1) - ((0.5788141767466537) * (x1))) / ((x1) + (-7.009674149442353)),-0.006104260298071268,9
0,24,abs((0.853626492431224) * (0.29331294683488607))**((-0.587688262273041) + (x0)),-0.3068868319301415,7
0,25,(1/(x0)) + ((x1) + ((-0.9988432097096601) * (x0))),-0.21570145038016944,8
0,26,1/(abs(abs(1.9693327262897957)**(x1))**((x0) / (x0))),-0.306875397632767,8
0,27,(((x0) * (x0)) / (x0)) / ((x1) * (x1)),-0.27564347345582146,9
0,28,abs((x1) * (x1))**((0.5668388022124025) * (-0.1360488154343927)),-0.005465980182382844,7
0,29,((x1) * (x0)) * (abs(-0.6855627643398077)**(x0)),-0.19079780366027754,7
0,30,1/(1/(0.5304278932111424)),-0.025533074884542654,3
